Strain,source,data,E_lm,B0_lm,E_ss,B0_ss,B0,E
LM1_2b,meta,,-0.9103685531039416,-10.431997525897172,0.7710558774577762,4.0061389896290724e-5,0.5908714240689664,0.7710558774577762
LM4b,meta,,-0.9838516949629965,-10.782335344416865,0.8858027016413158,3.593849422734242e-5,0.5115009134959883,0.8858027016413158
TS_Oscar2002,meta,,-1.0072596732991153,-11.222711059085961,0.7524228637786624,2.612353998201355e-5,0.2783881955956618,0.7524228637786624
EC_Daughtry1997,meta,,-0.8814134600373483,-10.333026912013674,1.3795656365655895,3.742882925955121e-5,0.5411959704632497,1.3795656365655895
EC_Ingraham1958,meta,,-1.1640120281349797,-10.716859260977929,1.329480511061568,2.1936244361223887e-5,0.15071564292142212,1.329480511061568
EC_Ratkowsky1991,meta,,-0.9082291653457283,-10.945142518348774,1.260888583463459,2.1141032636226156e-5,0.12373035507784218,1.260888583463459
CP_Beef,meta,,-1.1503937361949486,-11.138855727857488,0.9681250223829854,2.810895557684199e-5,0.3319221291470004,0.9681250223829854
CP_Chicken,meta,,-1.2660970838859038,-11.451541655587526,0.6139750020650132,6.260850698573931e-5,0.9171759616187283,0.6139750020650132
CP_Pork,meta,,-0.8464575746194997,-10.596524488237566,0.577850977004019,5.528913326652801e-5,0.826316348372315,0.577850977004019
ltk10_growth,meta,,-0.870088513102097,-12.350006942340459,0.6164598670727213,4.386234082715585e-6,-1.0256703193253158,0.6164598670727213
ak30_growth,meta,,-1.0229217737159675,-13.46067838162555,0.8024888725631624,2.377621834739217e-6,-1.4732056005367398,0.8024888725631624
Krist1998,meta,,-0.8412053979889811,-10.333954939699765,0.5939900889570102,5.1541908225189845e-5,0.7750262300118246,0.5939900889570102
LP_CNCM_I-4031,meta,,-1.2856457939402066,-9.518427092562245,0.7249514636984824,8.611605837644311e-5,1.1501590155149408,0.7249514636984824
Swarup_Tt_HB8,meta,,-0.601285076042523,-14.13887257300385,0.5824112838623453,8.325776368883033e-7,-2.2400815116247976,0.5824112838623453
Valik_2013_L_rhamnosus_GG,meta,,-0.7897678065798243,-10.805256959888753,0.6490135065648854,2.9613934679393947e-5,0.3700395950562202,0.6490135065648854
Van_Derlinden_E_coli,meta,,-1.1152032057809287,-10.547976904919542,0.8486651096301874,4.88666026001368e-5,0.7360725168422305,0.8486651096301874
Membre_Ecoli_Strain1,meta,,-1.055733820319816,-10.112883311788833,0.8330608855999659,7.081619168026925e-5,1.0072036978229963,0.8330608855999659
Membre_Ecoli_Strain2,meta,,-1.2869613037934235,-10.770388007166584,0.7800696783112389,5.736477583184171e-5,0.8532502107596615,0.7800696783112389
Membre_Ecoli_Strain4,meta,,-1.1882330470958182,-10.473144251461495,0.862486222672152,5.658604772501017e-5,0.8432612955666049,0.862486222672152
Membre_Ecoli_Strain6,meta,,-1.1803192240198122,-10.439190374003825,1.2271421196737873,4.4831221426750536e-5,0.6730831888022076,1.2271421196737873
